customerID,actual_churn,churn_probability,risk_score,risk_level,predicted_churn
5178-LMXOP,1,0.8539980067307115,85.39980067307114,Critical,1
6861-XWTWQ,1,0.8324493617575031,83.24493617575031,Critical,1
0295-PPHDO,1,0.828669765778144,82.8669765778144,Critical,1
2545-EBUPK,0,0.8241458944653709,82.4145894465371,Critical,1
6630-UJZMY,0,0.8238556265976003,82.38556265976003,Critical,1
1069-XAIEM,1,0.8184474872269022,81.84474872269021,Critical,1
8161-QYMTT,0,0.8178075237948811,81.7807523794881,Critical,1
6023-YEBUP,1,0.8100344506778075,81.00344506778076,Critical,1
4750-ZRXIU,1,0.8094738377707162,80.94738377707162,Critical,1
1400-MMYXY,1,0.8083067331862243,80.83067331862243,Critical,1
8884-ADFVN,1,0.8074363753491188,80.74363753491188,Critical,1
3722-WPXTK,1,0.8068683319357274,80.68683319357274,Critical,1
2865-TCHJW,1,0.8055772475928796,80.55772475928796,Critical,1
9057-SIHCH,1,0.8053983257902048,80.53983257902047,Critical,1
0970-ETWGE,1,0.7942459358166323,79.42459358166323,Critical,1
3320-VEOYC,0,0.7895917837361013,78.95917837361013,Critical,1
8593-WHYHV,1,0.7870512368674039,78.7051236867404,Critical,1
4115-NZRKS,0,0.7865724992084048,78.65724992084047,Critical,1
8739-XNIKG,0,0.7862913053638775,78.62913053638775,Critical,1
1143-NMNQJ,1,0.7834516369377026,78.34516369377026,Critical,1
9611-CTWIH,1,0.7800620483170626,78.00620483170626,Critical,1
2034-GDRCN,1,0.775177549995954,77.5177549995954,Critical,1
4927-WWOOZ,0,0.7744986889640298,77.44986889640299,Critical,1
4713-LZDRV,1,0.7732979039996738,77.32979039996738,Critical,1
8245-UMPYT,1,0.7717062889553569,77.17062889553569,Critical,1
9248-OJYKK,1,0.7715852177343161,77.15852177343162,Critical,1
6969-MVBAI,0,0.7714781363411174,77.14781363411174,Critical,1
4587-VVTOX,1,0.7692559800882899,76.92559800882898,Critical,1
9221-OTIVJ,1,0.7657480374231184,76.57480374231184,Critical,1
6230-BSUXY,1,0.7647859928829075,76.47859928829075,Critical,1
4415-IJZTP,1,0.7643214559293596,76.43214559293597,Critical,1
0655-RBDUG,1,0.7581669049610048,75.81669049610048,Critical,1
2514-GINMM,1,0.7565682675522305,75.65682675522305,Critical,1
9334-GWGOW,0,0.755982299402477,75.59822994024769,Critical,1
8258-GSTJK,1,0.7532385798156619,75.32385798156619,Critical,1
2077-MPJQO,0,0.7514739037975551,75.1473903797555,Critical,1
8083-YTZES,1,0.7502277692575471,75.02277692575471,Critical,1
2985-FMWYF,0,0.7477249234771846,74.77249234771845,High,1
